[0.4, 0.4, -0.9, -0.54][True, True, False, True]17
[0.33999999999999997, 0.36000000000000004, -0.6599999999999999, -0.5][True, True, True, True]20
[0.38000000000000006, 0.38, -0.62, -0.5][True, True, True, True]20
[0.4, 0.38, -0.78, -0.54][True, True, True, True]20
[0.33999999999999997, 0.34, -0.7, -0.5][True, True, True, True]20
[0.4, 0.38000000000000006, -0.86, -0.54][True, True, False, True]17
[0.38, 0.36000000000000004, -0.6199999999999999, -0.45999999999999996][True, True, True, True]20
[0.32, 0.36, -0.78, -0.5][True, True, True, True]20
[0.36000000000000004, 0.4, -0.9, -0.5][True, True, False, True]17
[0.38, 0.38, -0.78, -0.45999999999999996][True, True, True, True]20
[0.34, 0.4, -0.6599999999999999, -0.5][True, True, True, True]20
[0.4, 0.34, -0.78, -0.5][True, True, True, True]20
[0.38000000000000006, 0.38, -0.78, -0.5][True, True, True, True]20
[0.4, 0.34, -0.74, -0.5800000000000001][True, True, True, True]20
[0.36, 0.4, -0.74, -0.45999999999999996][True, True, True, True]20
[0.38, 0.36, -0.7, -0.5][True, True, True, True]20
[0.36, 0.4, -0.7399999999999999, -0.5][True, True, True, True]20
[0.36, 0.36000000000000004, -0.8200000000000001, -0.5][True, True, True, True]20
[0.4, 0.34, -0.7, -0.45999999999999996][True, True, True, True]20
[0.36, 0.38, -0.7, -0.5][True, True, True, True]20
[0.4, 0.33999999999999997, -0.7799999999999999, -0.45999999999999996][True, True, True, True]20
[0.36, 0.4, -0.82, -0.62][True, True, True, False]13
[0.42000000000000004, 0.36, -0.6599999999999999, -0.6199999999999999][True, True, True, False]13
[0.36000000000000004, 0.36, -0.6599999999999999, -0.58][True, True, True, True]20
[0.34, 0.36000000000000004, -0.82, -0.6199999999999999][True, True, True, False]13
[0.31999999999999995, 0.38000000000000006, -0.7, -0.5][True, True, True, True]20
[0.38000000000000006, 0.36000000000000004, -0.82, -0.5][True, True, True, True]20
[0.33999999999999997, 0.4, -0.58, -0.54][True, True, True, True]20
[0.36, 0.38000000000000006, -0.78, -0.5][True, True, True, True]20
[0.38000000000000006, 0.36000000000000004, -0.6599999999999999, -0.45999999999999996][True, True, True, True]20
[0.34, 0.36, -0.6599999999999999, -0.38][True, True, True, True]20
[0.38, 0.36000000000000004, -0.6599999999999999, -0.54][True, True, True, True]20
[0.38, 0.34, -0.9, -0.54][True, True, False, True]17
[0.4, 0.38, -0.7799999999999999, -0.45999999999999996][True, True, True, True]20
[0.33999999999999997, 0.33999999999999997, -0.6599999999999999, -0.45999999999999996][True, True, True, True]20
[0.38000000000000006, 0.38, -0.74, -0.45999999999999996][True, True, True, True]20
[0.42000000000000004, 0.43999999999999995, -0.6199999999999999, -0.5][True, True, True, True]20
[0.4, 0.38, -0.9, -0.5][True, True, False, True]17
